ID_UC_G0,city,country,lat,lon,min_lon,min_lat,max_lon,max_lat
47,﻿Freetown,﻿Sierra Leone,8.418843693285334,-13.18192120588291,-13.300999071428,8.309124885475505,-13.016169287429774,8.504033890242995
50,﻿Monrovia,﻿Liberia,6.323709647854393,-10.731030455571963,-10.826633519058733,6.20790523114538,-10.584843944576917,6.4592120004744595
70,﻿Turin,﻿Italy,45.07001346242886,7.646069097114066,7.496263353924159,44.97009218245283,7.788359653590954,45.15452147121113
75,﻿Gothenburg,﻿Sweden,57.702447622770656,11.964435422215194,11.80828816971995,57.604813584928216,12.129534242895085,57.82964804532136
85,﻿Pointe-Noire,﻿Republic of the Congo,-4.781282051724759,11.89246753413604,11.819039692314941,-4.871031472999743,11.958508440235763,-4.6766685623618445
102,﻿Riga,﻿Latvia,56.96327187938828,24.11424800512373,23.985969557152465,56.88262375910192,24.229809817682064,57.055074894338276
109,﻿Sofia,﻿Bulgaria,42.682224330079144,23.323013488458102,23.21277251462194,42.61005471632966,23.435916864601683,42.75541981573667
127,﻿Khan Yunis,﻿Palestine,31.323861590718966,34.30197938418016,34.23862995032879,31.25154518451879,34.360311625749056,31.388939455148147
129,﻿Latakia,﻿Syria,35.53395149097303,35.802039819898376,35.740309737436746,35.4959056696806,35.86747789972894,35.57461885701807
134,﻿Tabuk,﻿Saudi Arabia,28.403534041442196,36.55434780104488,36.49679809302414,28.349020493659392,36.62644924077911,28.459425730923492
159,﻿Port Louis,﻿Mauritius,-20.22842419684426,57.49031847620781,57.41899359377385,-20.33485408218825,57.546315238251275,-20.119397822484
173,﻿Chiang Mai,﻿Thailand,18.772892205020895,99.00146792297433,98.90910111699698,18.67208199105126,99.10281077065119,18.86202359081049
212,﻿La Paz,﻿Bolivia,-16.52309932361905,-68.16700449122006,-68.29018006052104,-16.637195011711878,-68.01419178701657,-16.43992886806315
213,﻿Bayamón [San Juan],﻿Puerto Rico,18.398035755250426,-66.0971584544942,-66.24198351822916,18.341941390733815,-65.94752990171209,18.46571568576482
217,﻿Asuncion,﻿Paraguay,-25.31931003778461,-57.542153431905355,-57.67685892854353,-25.43421929088161,-57.432930246330585,-25.1820689590925
222,﻿Nouakchott,﻿Mauritania,18.074214290059466,-15.95928647025618,-16.031697654827916,17.97082024629174,-15.882467159450332,18.152219689429298
231,﻿Lisbon,﻿Portugal,38.763440424889055,-9.226870224605278,-9.452987130165285,38.65931903522528,-9.00206660065733,38.93487455961863
244,﻿Rotterdam [The Hague],﻿Netherlands,51.970720274185304,4.381238468362162,4.118670833560272,51.82278961233404,4.632450674558161,52.12348698419704
255,﻿Bata,﻿Equatorial Guinea,1.8446647731659795,9.78611043158142,9.7313577866304,1.7955773694348254,9.831359983673858,1.9088275576793692
258,﻿Tripoli,﻿Libya,32.83859270524565,13.19603334677921,12.923171336911428,32.749866150000436,13.409111810715904,32.92268782339836
291,﻿Alexandria,﻿Egypt,31.17827387652551,29.966676321093903,29.647706261400643,31.037017615599115,30.224689590204484,31.3374077247164
295,﻿Bujumbura,﻿Burundi,-3.3816041086731943,29.368871636147322,29.295535777245902,-3.4947076910302273,29.436580798624057,-3.300472488539701
299,﻿Maputo,﻿Mozambique,-25.854950216618782,32.55012420759602,32.40178930488123,-25.989659482726996,32.6919333024514,-25.694985324978926
312,﻿Yerevan,﻿Armenia,40.172466719411496,44.49714975866683,44.38428167912878,40.08591416696151,44.61126729828926,40.23814006094316
325,﻿Abu Dhabi,﻿United Arab Emirates,24.463820885740947,54.377288492517195,54.30405778411694,24.41003160745452,54.46652270312838,24.527398328948287
337,﻿Ulaanbaatar,﻿Mongolia,47.92601008326859,106.87480125866814,106.6870850512503,47.854717568308885,107.10733692222223,48.00517737946654
348,﻿Seoul,﻿South Korea,37.47326755904677,126.93320335524537,126.5741847642868,37.10225569298145,127.25500919601438,37.773110927729725
351,﻿Sapporo,﻿Japan,43.06860355378234,141.37641417588372,141.18339020620814,42.95550485302952,141.58175968424538,43.174056525591496
358,﻿Vancouver,﻿Canada,49.23328135040569,-122.97424434105287,-123.24348315118971,49.100949526902134,-122.71873268371326,49.366778690842175
362,﻿Managua,﻿Nicaragua,12.122375762564511,-86.25997465508354,-86.37622844106329,12.027920570951066,-86.14544492226366,12.182914857857172
363,﻿San José,﻿Costa Rica,9.957381517349273,-84.12018321545172,-84.29171155809483,9.845108437362281,-83.96753620573446,10.04847638098516
367,﻿Havana,﻿Cuba,23.080821058632505,-82.37411593215994,-82.49901839433215,22.963056715511804,-82.24389467098513,23.180135476152905
391,﻿Bamako,﻿Mali,12.61786214905276,-7.976569462481714,-8.122845386604451,12.501170003544518,-7.821156300777909,12.746083458146847
394,﻿Dublin,﻿Ireland,53.326378519560556,-6.27184436907126,-6.4763124455676975,53.225995977004054,-6.068756318221013,53.41239010556693
419,﻿Zagreb,﻿Croatia,45.807289658613406,15.991322330781129,15.828635639877541,45.75546090905592,16.144338767272064,45.85739526085816
424,﻿N'Djamena,﻿Chad,12.130149879496466,15.064463266866865,14.95397616178282,12.036077309462105,15.165589360158636,12.215549629767738
427,﻿Brazzaville,﻿Republic of the Congo,-4.243927160033448,15.254562091596497,15.162778417156439,-4.328486104368461,15.321803402604376,-4.150370273365366
431,﻿Cape Town,﻿South Africa,-33.958972657940926,18.58375797191506,18.36988364913378,-34.10999590918447,18.76360602337281,-33.8060821406739
456,﻿Gaza,﻿Palestine,31.52298969924079,34.474261389410046,34.406595472477306,31.47484943161411,34.548646292947865,31.569384831077727
